Period,UF,Sum,Count
202411,AC,48284885.16,34193
202411,AL,188384442.24,133405
202411,AP,51807103.40,36687
202411,AM,210657986.27,149178
202411,BA,824171065.79,583637
202411,CE,561880711.38,397896
202411,DF,108026739.67,76496
202411,ES,151570109.36,107331
202411,GO,301725224.86,213668
202411,MA,299739431.74,212260
202411,MT,159170890.23,112718
202411,MS,161429218.02,114318
202411,MG,833205549.95,590039
202411,PA,431206209.71,305359
202411,PB,229972160.39,162854
202411,PR,385026888.08,272661
202411,PE,573817556.14,406349
202411,PI,147085025.44,104157
202411,RJ,728263998.52,515716
202411,RN,168833782.92,119558
202411,RS,371636214.92,263183
202411,RO,81835065.75,57952
202411,RR,36529399.41,25868
202411,SC,150990014.35,106923
202411,SP,1427356577.91,1010782
202411,SE,120476390.35,85315
202411,TO,73522888.58,52066
202411,Others,0.00,0
202411,Total,8826605530.52,6250569
202410,AC,47711955.97,33789
202410,AL,187467427.48,132762
202410,AP,51625005.20,36560
202410,AM,209488291.91,148357
202410,BA,822128368.04,582226
202410,CE,558105571.38,395243
202410,DF,107346503.61,76020
202410,ES,151107174.38,107012
202410,GO,300082733.61,212517
202410,MA,298814674.17,211618
202410,MT,158708981.18,112397
202410,MS,161165007.64,114136
202410,MG,832079475.79,589274
202410,PA,430267066.90,304710
202410,PB,228661462.92,161934
202410,PR,384301403.54,272161
202410,PE,571667722.38,404850
202410,PI,146475693.74,103732
202410,RJ,726478717.34,514485
202410,RN,168256136.62,119155
202410,RS,372783902.76,264004
202410,RO,81353454.97,57614
202410,RR,36195387.12,25633
202410,SC,150693722.02,106719
202410,SP,1423046063.19,1007791
202410,SE,120063393.71,85027
202410,TO,73232357.53,51863
202410,Others,255581.82,181
202410,Total,8799563236.93,6231770
202409,AC,46842090.77,33173
202409,AL,186011483.91,131731
202409,AP,50914643.11,36057
202409,AM,206690846.42,146376
202409,BA,815310545.54,577398
202409,CE,552826781.75,391505
202409,DF,105840265.80,74953
202409,ES,149563631.48,105919
202409,GO,296623250.08,210067
202409,MA,295603403.19,209344
202409,MT,157126037.07,111276
202409,MS,159750111.63,113134
202409,MG,826825630.67,585553
202409,PA,425438972.42,301291
202409,PB,226073058.16,160101
202409,PR,381633726.11,270272
202409,PE,566071499.25,400887
202409,PI,144545283.13,102365
